date,painting_author,painting_genre,painting_wiki,painting_name,song_title,song_description,song_artist,song_writers,song_released,saying_text,saying_explanation,UNESCO_site_name,UNESCO_site_description,UNESCO_site_country,international_day,color_name,color_hex,color_link,plant_name,discovery,philosophical_concept_name,philosophical_concept_url
2024-03-11,Mikhail Vrubel,Symbolism,http://en.wikipedia.org/wiki/Mikhail_Vrubel,Mikhail_Vrubel_6.jpg,You Really Got Me,"Convinced that the band's previous two singles had flopped because they were too pristine, the Kinks went into the studio in the summer of 1964 to record this deliberately raw rave-up, written by Ray Davies on the piano in his parents' living room. But the original recording still felt too shiny, and the band had to borrow 200 pounds to cover the cost of another session. Seventeen-year-old guitarist Dave Davies took a razor to the speaker cone on his amp to get the desired dirty sound for that immortal, blistering riff. ""The song came out of a working-class environment,"" Dave recalled. ""People fighting for something."" A month later, the proto-heavy-metal song went straight to the top of the British charts.",The Kinks,Ray Davies,"Sept. , 1964",Balance of power - The ,"The
distribution of power between nations in such a way that no single state has dominance
over the others.",Aldabra Atoll,"<p>The atoll is comprised of four large coral islands which enclose a shallow lagoon; the group of islands is itself surrounded by a coral reef. Due to difficulties of access and the atoll's isolation, Aldabra has been protected from human influence and thus retains some 152,000 giant tortoises, the world's largest population of this reptile.</p>",Seychelles,,Taupe,#483C32,https://en.wikipedia.org/wiki/Taupe,crowfoot,1749 – 1789: Buffon wrote Histoire naturelle.,Modal logic,https://en.wikipedia.org/wiki/Modal_logic
2024-03-12,Marc Chagall,Primitivism,http://en.wikipedia.org/wiki/Marc_Chagall,Marc_Chagall_5.jpg,Mr. Tambourine Man,"The only Byrd to play on the band's first hit was Roger McGuinn, whose chiming 12-string Rickenbacker guitar became folk rock's defining sound. Everything else came from L.A. session players, including drummer Hal Blaine and bassist Larry Knechtel of Phil Spector's Wrecking Crew. But the rest of the Byrds soon caught up, and as the song was breaking, a curious Dylan checked out the band at Ciro's, a Los Angeles club. Reportedly, he didn't recognize some of his own songs in their electrified versions.",The Byrds,Bob Dylan,"May , 1965","We few, we happy few, we band of brothers","'We few, we happy few, we band of brothers' is one of the well-known lines from the rousing St. Crispin's Day Speech given by the king in Shakespeare's Henry V. ",Rock Art of the Mediterranean Basin on the Iberian Peninsula,<p>The late prehistoric rock-art sites of the Mediterranean seaboard of the Iberian peninsula form an exceptionally large group. Here the way of life during a critical phase of human development is vividly and graphically depicted in paintings whose style and subject matter are unique.</p>,Spain,,Silver,#C0C0C0,https://en.wikipedia.org/wiki/Silver_(color),box,1995: Michel Mayor and Didier Queloz definitively observe the first extrasolar planet around a main sequence star,Object,https://en.wikipedia.org/wiki/Object_(philosophy)
2024-03-13,Gustave Courbet,Realism,https://en.wikipedia.org/wiki/Gustave_Courbet,Gustave_Courbet_3.jpg,I Got You (I Feel Good),"The same year he hit with ""Papa's Got a Brand New Bag,"" Soul Brother Number One scored his biggest pop success with ""I Got You."" It was a sped-up, hyped-up new version of a song called ""I Found You"" that Brown had written a few years previous for one of his early proteges, James Brown Revue singer Yvonne Fair. ""I Got You"" received some help on the pop charts from a most unlikely source; a few months before the single was released, Brown performed the song in the Frankie Avalon teen flick Ski Party.",James Brown,Brown,"Nov. , 1965",Moaning Minnie,"A
habitual grumbler.",Pirin National Park,"<p>Spread over an area of over 27,000 ha, at an altitude between 1008 and 2914 m in the Pirin Mountains, southwest Bulgaria, the site comprises diverse limestone mountain landscapes with glacial lakes, waterfalls, caves and predominantly coniferous forests. It was added to the World Heritage List in 1983. The extension now covers an area of around 40,000 ha in the Pirin Mountains, and overlaps with the Pirin National Park, except for two areas developed for tourism (skiing). The dominant part of the extension is high mountain territory over 2000m in altitude, and covered mostly by alpine meadows, rocky screes and summits.</p>",Bulgaria,,Tuscan tan,#A67B5B,https://en.wikipedia.org/wiki/Tan_(color)#Tuscan_tan,felonwort,1751: Benjamin Franklin: lightning is electrical.,Trust,https://en.wikipedia.org/wiki/Trust_(social_sciences)
2024-03-14,Paul Klee,"Expressionism,Abstractionism,Surrealism",https://en.wikipedia.org/wiki/Paul_Klee,Paul_Klee_7.jpg,Mystery Train,"""Mystery Train"" is one of Presley's most haunting songs, a stark blues number that sounds ancient but was actually first cut only two years before by Memphis blues singer Junior Parker. Presley recorded it with the groove from the flip side of the same Parker single, ""Love My Baby,"" and Sun producer Phillips' taut, rubbery echo effect made guitarist Scotty Moore's every note sound doubled. Presley added a final verse Ã¢ÂÂ ""Train . . . took my baby, but it never will again"" Ã¢ÂÂ capped by a celebratory falsetto whoop that transformed a pastoral about death into a song about the power to overcome it.",Elvis Presley,"Junior Parker, Sam Phillips","Sept. , 1955",The pip - Get/got/have ,Become irritated or annoyed. ,Niokolo-Koba National Park,"<p>Located in a well-watered area along the banks of the Gambia river, the gallery forests and savannahs of Niokolo-Koba National Park have a very rich fauna, among them Derby elands (largest of the antelopes), chimpanzees, lions, leopards and a large population of elephants, as well as many birds, reptiles and amphibians.</p>",Senegal,,Spring green,#00FF7F,https://en.wikipedia.org/wiki/Spring_green_(color),hemp dogbane,"1843: James Prescott Joule: Law of Conservation of energy (First law of thermodynamics), also 1847 – Helmholtz, Conservation of energy.",Cambridge change,https://en.wikipedia.org/wiki/Cambridge_change
2024-03-15,Jackson Pollock,Abstract Expressionism,http://en.wikipedia.org/wiki/Jackson_Pollock,Jackson_Pollock_5.jpg,Strawberry Fields Forever,"Lennon often considered ""Strawberry Fields Forever"" his greatest accomplishment with the Beatles. The song, a surreal kaleidoscope of sound, was the first track recorded for Sgt. Pepper's Lonely Hearts Club Band (although it was released as a single instead). The lyrics are a nostalgic look at Lennon's Liverpool childhood and an expression of his own pride. Said Lennon, ""The second line goes, 'No one I think is in my tree.' Well, what I was trying to say in that line is, 'Nobody seems to be as hip as me, therefore I must be crazy or a genius.'""",The Beatles,"John Lennon, Paul McCartney","Feb. , 1967",Daft as a brush,To be 'as daft as a brush' is to be very stupid or foolish.,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve","<p>The nature reserve, which is part of the Regional Natural Park of Corsica, occupies the Scandola peninsula, an impressive, porphyritic rock mass. The vegetation is an outstanding example of scrubland. Seagulls, cormorants and sea eagles can be found there. The clear waters, with their islets and inaccessible caves, host a rich marine life.</p>",France,International Day to Combat Islamophobia,Prussian blue,#003153,https://en.wikipedia.org/wiki/Prussian_blue,wormwood,499: Aryabhata gives a new symbol for zero and uses it for the decimal system.,Sittlichkeit,https://en.wikipedia.org/wiki/Sittlichkeit
2024-03-16,El Greco,Mannerism,http://en.wikipedia.org/wiki/El_Greco,El_Greco_7.jpg,Whole Lotta Love,"The members of Led Zeppelin first got their sound together by jamming on blues standards, stretching them out into psychedelic orgies. ""Whole Lotta Love"" was a tribute to Chicago blues songwriter Willie Dixon, based on his ""You Need Love,"" a Muddy Waters single from 1962 (though Robert Plant also threw in quotes from songs Dixon wrote for Howlin' Wolf). The copyright issues weren't sorted out until 1985, when Dixon brought legal action and got his rightful share of the credit for ""Whole Lotta Love."" ""Page's riff was Page's riff,"" Plant said. ""I just thought, 'Well, what am I going to sing?' That was it, a nick. Now happily paid for."" Said Page, ""Usually my riffs are pretty damn original. What can I say?""",Led Zeppelin,"Willie Dixon, Led Zeppelin","Oct. , 1969",Absent without leave,Absent without permission.,West Lake Cultural Landscape of Hangzhou,"<p>The West Lake Cultural Landscape of Hangzhou, comprising the West Lake and the hills surrounding its three sides, has inspired famous poets, scholars and artists since the 9th century. It comprises numerous temples, pagodas, pavilions, gardens and ornamental trees, as well as causeways and artificial islands. These additions have been made to improve the landscape west of the city of Hangzhou to the south of the Yangtze river.</p>
<p>The West Lake has influenced garden design in the rest of China as well as Japan and Korea over the centuries and bears an exceptional testimony to the cultural tradition of improving landscapes to create a series of vistas reflecting an idealised fusion between humans and nature.</p>
<p> </p>",China,,Majorelle blue,#6050DC,https://en.wikipedia.org/wiki/Majorelle_Blue,rambler rose,2nd century: Ptolemy formalises the epicycles of Apollonius.,Principle,https://en.wikipedia.org/wiki/Principle
2024-03-17,Rembrandt,Baroque,http://en.wikipedia.org/wiki/Rembrandt,Rembrandt_6.jpg,Summertime Blues,"Cochran's label tried molding him into a crooning teen idol, but he made his mark with a string of rockabilly ravers written with partner Capehart. Explaining the inspiration for this classic, Capehart said, ""There had been a lot of songs about summer, but none about the hardships of summer."" With that idea and a guitar lick from Cochran, they knocked out the song in 45 minutes.",Eddie Cochran,"Cochran, Jerry Capehart","July , 1958",Alive and kicking,Definitely alive; lively and active. ,Iguazu National Park,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.</p>",Argentina,,Desert sand,#EDC9AF,https://en.wikipedia.org/wiki/Desert_sand_(color),cress,4th century BC: Greek philosophers study the properties of logical negation.,Satori,https://en.wikipedia.org/wiki/Satori
2024-03-18,Mikhail Vrubel,Symbolism,http://en.wikipedia.org/wiki/Mikhail_Vrubel,Mikhail_Vrubel_7.jpg,Superstition,"Wonder debuted this hard blast of funk live while opening for the Rolling Stones in the summer of 1972, intent on expanding his audience. The 22-year-old former child star had written it at the drum set, humming the other parts to himself. Wonder had initially intended for Jeff Beck to record the song, but Berry Gordy wouldn't let him give it away. It became the first single from Talking Book Ã¢ÂÂ and Wonder's first Number One hit in nearly a decade.",Stevie Wonder,Wonder,"Nov. , 1972",Road apples,Horse dung.,Golden Mountains of Altai,"<p>The Altai mountains in southern Siberia form the major mountain range in the western Siberia biogeographic region and provide the source of its greatest rivers – the Ob and the Irtysh. Three separate areas are inscribed: Altaisky Zapovednik and a buffer zone around Lake Teletskoye; Katunsky Zapovednik and a buffer zone around Mount Belukha; and the Ukok Quiet Zone on the Ukok plateau. The total area covers 1,611,457 ha. The region represents the most complete sequence of altitudinal vegetation zones in central Siberia, from steppe, forest-steppe, mixed forest, subalpine vegetation to alpine vegetation. The site is also an important habitat for endangered animal species such as the snow leopard.</p>",Russian Federation,,Van Dyke brown,#664228,https://en.wikipedia.org/wiki/Van_Dyke_brown,striped maple,"1833: Anselme Payen isolates first enzyme, diastase.",Satchidananda,https://en.wikipedia.org/wiki/Satchidananda
2024-03-19,Albrecht Dürer,Northern Renaissance,http://en.wikipedia.org/wiki/Albrecht_Dürer,Albrecht_Dürer_7.jpg,California Girls,"The first time Wilson took acid, he sat at the piano and wrote the brooding, beautiful opening bars to ""California Girls."" It was a breakthrough moment, Wilson has said, that led him to begin creating more complex, emotional music. The lyrics, written by Love, were inspired by Wilson's assertion that ""everybody loves girls."" And despite the teen-fantasy theme, the singing is tougher than earlier Beach Boys hits, with tightly wound harmonies and an aggressive lead vocal. ""I taught Mike to sing with attitude,"" said Wilson. ""I was trying to create a new Beach Boys sound.""",The Beach Boys,"Brian Wilson, Mike Love","July , 1965",Half inch,Pinch (steal).,Villa Romana del Casale,"<p>Roman exploitation of the countryside is symbolized by the Villa Romana del Casale (in Sicily), the centre of the large estate upon which the rural economy of the Western Empire was based. The villa is one of the most luxurious of its kind. It is especially noteworthy for the richness and quality of the mosaics which decorate almost every room; they are the finest mosaics <em>in situ</em> anywhere in the Roman world.</p>",Italy,,New York pink,#D7837F,https://en.wikipedia.org/wiki/Shades_of_pink#New_York_pink,golden jerusalem,"2023: On 9 December, Halley's Comet reached the farthest and slowest point in its orbit from the Sun when it was traveling at 0.91 km/s (2,000 mph) with respect to the Sun.",Master-slave dialectic,https://en.wikipedia.org/wiki/Master-slave_dialectic
2024-03-20,Jackson Pollock,Abstract Expressionism,http://en.wikipedia.org/wiki/Jackson_Pollock,Jackson_Pollock_4.jpg,Papas Got A Brand New Bag,13 weeks; No. 8,James Brown,Brown,"July , 1966",Heart's content,To one's (or your) heart's content means to one's complete inner satisfaction - until one's heart is content. ,Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,"<p>The Champasak cultural landscape, including the Vat Phou Temple complex, is a remarkably well-preserved planned landscape more than 1,000 years old. It was shaped to express the Hindu vision of the relationship between nature and humanity, using an axis from mountain top to river bank to lay out a geometric pattern of temples, shrines and waterworks extending over some 10 km. Two planned cities on the banks of the Mekong River are also part of the site, as well as Phou Kao mountain. The whole represents a development ranging from the 5th to 15th centuries, mainly associated with the Khmer Empire.</p>",Lao People's Democratic Republic,"International Day of Happiness, French Language Day",Japanese carmine,#9D2933,https://en.wikipedia.org/wiki/Carmine_(color)#Japanese_carmine,fluxroot,"1951: George Otto Gey propagates first cancer cell line, HeLa",Subject,https://en.wikipedia.org/wiki/Subject_(philosophy)
2024-03-21,Rene Magritte,"Surrealism,Impressionism",http://en.wikipedia.org/wiki/René_Magritte,Rene_Magritte_8.jpg,Walk On By,"Early in her career, Warwick was a back-up singer who also cut demos for Brill Building songwriters Bacharach and David. This forlorn classic solidified her stardom, capping a series of singles in which she played the pleading lover. A downcast ballad set to a bossa nova beat, it was originally relegated to the B side of ""Any Old Time of the Day,"" until New York DJ Murray the K asked listeners to vote on the single's two sides. The winning cut scaled the charts during the heady exuberance of Beatlemania, which provided an unwitting foil for the understated perseverance of ""Walk On By."" ""I didn't get the guy very often in those days,"" Warwick said.",Dionne Warwick,"Burt Bacharach, Hal David","April , 1964",Action man,"A dynamic, macho type of man. ",León Cathedral,"<p>Built between 1747 and the early 19th century to the design of Guatemalan architect Diego José de Porres Esquivel, the monument expresses the transition from Baroque to Neoclassical architecture and its style can be considered to be eclectic. The Cathedral is characterized by the sobriety of its interior decoration and the abundance of natural light. The vault of the Sanctuary, however, presents rich ornamentation. The Cathedral houses important works of art including a wooden Flemish altarpiece, and paintings of the 14 stations of the Way of the Cross by Nicaraguan artist Antonio Sarria (late 19th and early 20th centuries).</p>",Nicaragua,"Week of Solidarity with the Peoples Struggling against Racism and Racial Discrimination (21-27 March), International Day for the Elimination of Racial Discrimination, World Poetry Day, International Day of Nowruz, World Down Syndrome Day, International Day of Forests",Rojo Spanish red,#A91101,https://en.wikipedia.org/wiki/Shades_of_red#Spanish_red,shad blow serviceberry,1986: Karl Müller and Johannes Bednorz: Discovery of High-temperature superconductivity,Value,https://en.wikipedia.org/wiki/Value_(ethics)
2024-03-22,Henri Matisse,"Impressionism,Post-Impressionism",http://en.wikipedia.org/wiki/Henri_Matisse,Henri_Matisse_6.jpg,Crying,"Orbison said he wrote this lush, dreamy ballad after an encounter with an old flame: ""Whether I was physically crying or just crying inside is the same thing."" His near-operatic performance culminated in a high, wailing note, which Orbison never lost the capacity to hit until his death in 1988. ""He sounded like he was singing from an Olympian mountaintop and he meant business,"" Bob Dylan wrote in Chronicles. ""He was now singing his compositions in three or four octaves that made you want to drive your car over a cliff. He sang like a professional criminal.""",Roy Orbison,"Joe Melson, Orbison","Aug. , 1961",Field day,A day of excitement or a circumstance of opportunity.,Naval Port of Karlskrona,"<p>Karlskrona is an outstanding example of a late-17th-century European planned naval city. The original plan and many of the buildings have survived intact, along with installations that illustrate its subsequent development up to the present day.</p>",Sweden,World Water Day,Violet (RYB),#8601AF,https://en.wikipedia.org/wiki/RYB_color_model,cutleaf coneflower,1838: Friedrich Bessel: first successful measure of stellar parallax (to star 61 Cygni).,Übermensch,https://en.wikipedia.org/wiki/%C3%9Cbermensch
2024-03-23,Henri Matisse,"Impressionism,Post-Impressionism",http://en.wikipedia.org/wiki/Henri_Matisse,Henri_Matisse_2.jpg,Tangled Up in Blue,"When Dylan introduced ""Tangled Up in Blue"" onstage in 1978, he described it as a song that took him ""10 years to live and two years to write."" It's still one of his most frequently performed live staples. It was the six-minute opener from Blood on the Tracks, written as his first marriage was falling apart. Dylan takes inspiration from classic country singers like Hank Williams and Lefty Frizzell, in a tale of a drifting heart on the road through the Sixties and Seventies. Dylan kept revising the song heavily through the years; on his 1984 Real Live, he plays with the chords and lyrics to tell a whole new story.",Bob Dylan,Dylan,"Jan. , 1975",Leopard cannot change its spots - A ,"The
          proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that  people who have done bad things will always be bad people.","Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue","<p>This site has the remains of monuments such as the Roman city of Aquincum and the Gothic castle of Buda, which have had a considerable influence on the architecture of various periods. It is one of the world's outstanding urban landscapes and illustrates the great periods in the history of the Hungarian capital.</p>",Hungary,World Meteorological Day,Wild Strawberry,#FF43A4,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,tulsi,1802: Jean-Baptiste Lamarck: teleological evolution.,Omphalos hypothesis,https://en.wikipedia.org/wiki/Omphalos_hypothesis
2024-03-24,Peter Paul Rubens,Baroque,http://en.wikipedia.org/wiki/Peter_Paul_Rubens,Peter_Paul_Rubens_2.jpg,Jailhouse Rock,"Songwriters Leiber and Stoller had already penned a couple of Presley hits Ã¢ÂÂ most notably ""Hound Dog,"" picked up from blues belter Big Mama Thornton Ã¢ÂÂ but the theme song for Presley's third movie was the duo's first studio collaboration with the young superstar. ""Jailhouse Rock"" was decidedly silly, the kind of tongue-in-cheek narrative goof they had been coming up with for the Coasters. The King, however, sang it as straight rock & roll, overlooking the humor in the lyrics (like the suggestion of gay romance when inmate Number 47 tells Number 3, ""You're the cutest jailbird I ever did see"") and introducing Scotty Moore's guitar solo with a cry so intense that the take almost collapses.",Elvis Presley,"Jerry Leiber, Mike Stoller","Oct. , 1957",Fair to middling,Slightly above average.,Royal Domain of Drottningholm,"<p>The Royal Domain of Drottningholm stands on an island in Lake Mälar in a suburb of Stockholm. With its castle, perfectly preserved theatre (built in 1766), Chinese pavilion and gardens, it is the finest example of an 18th-century north European royal residence inspired by the Palace of Versailles.</p>",Sweden,"World Tuberculosis Day, International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims",Dark spring green,#177245,https://en.wikipedia.org/wiki/Spring_green#Dark_spring_green,clump foot cabbage,"1517: Nicolaus Copernicus develops the quantity theory of money and states the earliest known form of Gresham's law: (""Bad money drowns out good"").",Sense data,https://en.wikipedia.org/wiki/Sense_data
2024-03-25,Pierre-Auguste Renoir,Impressionism,http://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_5.jpg,Redemption Song,"Marley had already recorded a version of this freedom hymn with his band when Island Records' chief Blackwell suggested he try it as an acoustic-style folk tune. Inspired by the writings of Marcus Garvey, Marley's lyrics offer up music as an antidote to slavery, both mental and physical. ""I would love to do more like that,"" Marley said a few months before his death, from cancer, at age 36 in 1981. As the final track on his final album, ""Redemption Song"" stands as his epitaph.",Bob Marley and the Wailers,Marley,"June , 1980",Tomorrow is another day,"'Tomorrow is another day' is famous for being the last line of Margaret Mitchells's American Civil War novel Gone With The Wind, 1936:",Central Highlands of Sri Lanka,"<p>Sri Lanka's highlands are situated in the south-central part of the island. The property comprises the Peak Wilderness Protected Area, the Horton Plains National Park and the Knuckles Conservation Forest. These montane forests, where the land rises to 2,500 metres above sea-level, are home to an extraordinary range of flora and fauna, including several endangered species such as the western-purple-faced langur, the Horton Plains slender loris and the Sri Lankan leopard. The region is considered a super biodiversity hotspot.</p>",Sri Lanka,"International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade, International Day of Solidarity with Detained and Missing Staff Members",Blood red,#660000,https://en.wikipedia.org/wiki/Blood_red,beech,1965: Leonard Hayflick: normal cells divide only a certain number of times: the Hayflick limit,Om,https://en.wikipedia.org/wiki/Om
2024-03-26,Vincent van Gogh,Post-Impressionism,http://en.wikipedia.org/wiki/Vincent_van_Gogh,Vincent_van_Gogh_5.jpg,Sunshine of Your Love,"Bassist Bruce and lyricist-poet Brown came up with ""Sunshine"" toward the end of an all-night session, which inspired the opening line: ""It's getting near dawn/When lights close their tired eyes."" The killer riff was inspired by Jimi Hendrix and based on a bass ostinato from Bruce; Clapton added the chorus hook, and drummer Ginger Baker laid down a mammoth, tom-tom-heavy beat. Bruce knew ""Sunshine"" would do well, but Atlantic Records nearly rejected it until some of the label's biggest acts started championing the record. ""Both Booker T. Jones and Otis Redding heard it and told me it was going to be a smash,"" he recalled.",Cream,"Jack Bruce, Pete Brown, Eric Clapton","Jan. , 1968",Dreams of empire,The aimless longing for glory. ,Crac des Chevaliers and Qal’at Salah El-Din,"<p>These two castles represent the most significant examples illustrating the exchange of influences and documenting the evolution of fortified architecture in the Near East during the time of the Crusades (11th - 13th centuries). The Crac des Chevaliers was built by the Hospitaller Order of Saint John of Jerusalem from 1142 to 1271. With further construction by the Mamluks in the late 13th century, it ranks among the best-preserved examples of the Crusader castles. The Qal&rsquo;at Salah El-Din (Fortress of Saladin), even though partly in ruins, represents an outstanding example of this type of fortification, both in terms of the quality of construction and the survival of historical stratigraphy. It retains features from its Byzantine beginnings in the 10th century, the Frankish transformations in the late 12th century and fortifications added by the Ayyubid dynasty (late 12th to mid-13th century).</p>",Syrian Arab Republic,,Cadmium orange,#ED872D,https://en.wikipedia.org/wiki/Cadmium_pigments,viburnum,2010: The Neanderthal Genome Project presented preliminary genetic evidence that interbreeding did likely take place and that a small but significant portion of Neanderthal admixture is present in modern non-African populations.,Infinity,https://en.wikipedia.org/wiki/Infinity_(philosophy)
2024-03-27,Kazimir Malevich,Suprematism,http://en.wikipedia.org/wiki/Kazimir_Malevich,Kazimir_Malevich_3.jpg,She Loves You,"Lennon and McCartney began writing this song on a tour van, and George Harrison dreamed up the harmonies, which Martin found ""corny."" The band overruled Martin on the harmonies, but they took his suggestion to kick off the song with the jubilant chorus. When McCartney's father heard the song, he said, ""Son, there are enough Americanisms around. Couldn't you sing, 'Yes, yes, yes,' just for once?"" McCartney said, ""You don't understand, Dad. It wouldn't work.""",The Beatles,"John Lennon, Paul McCartney ","Sept. , 1963",Bed of roses,The expression 'a bed of roses' describes a pleasant or easy situation.,Thracian Tomb of Sveshtari,"<p>Discovered in 1982 near the village of Sveshtari, this 3rd-century BC Thracian tomb reflects the fundamental structural principles of Thracian cult buildings. The tomb has a unique architectural decor, with polychrome half-human, half-plant caryatids and painted murals. The 10 female figures carved in high relief on the walls of the central chamber and the decoration of the lunette in its vault are the only examples of this type found so far in the Thracian lands. It is a remarkable reminder of the culture of the Getes, a Thracian people who were in contact with the Hellenistic and Hyperborean worlds, according to ancient geographers.</p>",Bulgaria,,Secret,#764374,https://en.wikipedia.org/wiki/Shades_of_purple#Secret,devils plague,1915: Albert Einstein: theory of general relativity – also David Hilbert,Tamas,https://en.wikipedia.org/wiki/Tamas_(philosophy)
2024-03-28,Henri de Toulouse-Lautrec,Post-Impressionism,https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec,Henri_de_Toulouse-Lautrec_5.jpg,For What Its Worth,"As police and teens clashed on L.A.'s Sunset Strip, Neil Young's guitar tolled like a funeral bell; the Summer of Love was unraveling before it even began. ""It turned out to be indicative of what was about to happen,"" said Stills.",Buffalo Springfield,Stephen Stills,"Feb. , 1967",Ginger,"Ginger beer = queer, that is, homosexual. ",Mount Huangshan,"<p>Huangshan, known as 'the loveliest mountain of China', was acclaimed through art and literature during a good part of Chinese history (e.g. the Shanshui 'mountain and water' style of the mid-16th century). Today it holds the same fascination for visitors, poets, painters and photographers who come on pilgrimage to the site, which is renowned for its magnificent scenery made up of many granite peaks and rocks emerging out of a sea of clouds.</p>",China,,Dark brown,#654321,https://en.wikipedia.org/wiki/Shades_of_brown#Dark_brown,osage orange,4th century BC: Eudoxus of Cnidus states the Archimedean property.,Injustice,https://en.wikipedia.org/wiki/Injustice
2024-03-29,Leonardo da Vinci,High Renaissance,http://en.wikipedia.org/wiki/Leonardo_da_Vinci,Leonardo_da_Vinci_1.jpg,Bo Diddley,"Didley's first single went to Number One on the R&B charts and immortalized the bedrock beat that would power everything from Buddy Holly's ""Not Fade Away"" to the Smiths' ""How Soon Is Now."" The song originated as a sexually suggestive ditty titled ""Uncle John,"" but the Chess brothers asked Diddley to clean up its lyrics and give it a more memorable title to match its otherworldly sound. Diddley, who studied violin as a child and built his own instruments, wrote songs that were deceptively simple, driven by interplay between the bass, drums and his tremolo guitar. But you can't copyright a beat, and Diddley never reaped the rewards for his greatest innovation.",Bo Diddley,Ellas McDaniel,"June , 1955",Lose face,Lose face - Be humiliated; lose one's reputation.,Tikal National Park,"<p>In the heart of the jungle, surrounded by lush vegetation, lies one of the major sites of Mayan civilization, inhabited from the 6th century B.C. to the 10th century A.D. The ceremonial centre contains superb temples and palaces, and public squares accessed by means of ramps. Remains of dwellings are scattered throughout the surrounding countryside.</p>",Guatemala,,Lemon glacier,#FDFF00,https://en.wikipedia.org/wiki/Lemon_(color)#Lemon_glacier,white root,3rd century BC: Archimedes derives a formula for the volume of a sphere in The Method of Mechanical Theorems.,Analytic–synthetic distinction,https://en.wikipedia.org/wiki/Analytic%E2%80%93synthetic_distinction
2024-03-30,Salvador Dali,Surrealism,http://en.wikipedia.org/wiki/Salvador_Dalí,Salvador_Dali_8.jpg,Whole Lotta Shakin Going On,"When Lewis decided to record what would be his breakthrough hit, it had already been cut four times and gone nowhere. Lewis filled it with frantic piano and filthy instructions (""All you got to do, honey, is kinda stand in one spot/Wiggle around just a little bit""). But what really made ""Whole Lotta Shakin' Going On"" work was producer Cowboy Jack Clement's decision to turn the session over to the manic energy of Lewis' live shows. ""I just simply turned on the machine, mixed it on the fly,"" he said. After Lewis played a fiery version of ""Shakin'"" on Steve Allen's TV show, the song went on to sell more than 6 million copies.",Jerry Lee Lewis,"Dave Williams, Roy Hall","June , 1957",Cheek by jowl,Side by side; in close or intimate proximity,Zollverein Coal Mine Industrial Complex in Essen,"<p>The Zollverein industrial complex in Land Nordrhein-Westfalen consists of the complete infrastructure of a historical coal-mining site, with some 20th-century buildings of outstanding architectural merit. It constitutes remarkable material evidence of the evolution and decline of an essential industry over the past 150 years.</p>",Germany,International Day of Zero Waste,Lime (color wheel),#BFFF00,https://en.wikipedia.org/wiki/Lime_(color),poke,4th century BC: Menaechmus discovers conic sections.,Jus soli,https://en.wikipedia.org/wiki/Jus_soli
2024-03-31,Jan van Eyck,Northern Renaissance,http://en.wikipedia.org/wiki/Jan_van_Eyck,Jan_van_Eyck_2.jpg,Lets Stay Together,"After Mitchell gave Green a rough mix of a tune he and drummer Jackson had worked out, Green wrote the lyrics in five minutes. Still, Green didn't want to record the song and fought with Mitchell for two days before finally agreeing to cut it. The recording was finished late on a Friday night in the fall of 1971; Mitchell pressed the single on Monday, and by Thursday Green was told that ""Let's Stay Together"" would be entering the charts at Number Eight. Within two weeks, it had reached Number One on the R&B charts, and in February 1972, the warm, buoyant love song gave Green his only Number One pop hit.",Al Green,"Al Green, Al Jackson Jr., Willie Mitchell","Dec. , 1971",Beetle-browed,"With a furrowed or prominent brow, or worried expression. Formerly, with large or bushy eyebrows.",Imperial Tombs of the Ming and Qing Dynasties,"<p>It represents the addition of three Imperial Tombs of the Qing Dynasty in Liaoning to the Ming tombs inscribed in 2000 and 2003. The Three Imperial Tombs of the Qing Dynasty in Liaoning Province include the Yongling Tomb, the Fuling Tomb, and the Zhaoling Tomb, all built in the 17th century. Constructed for the founding emperors of the Qing Dynasty and their ancestors, the tombs follow the precepts of traditional Chinese geomancy and fengshui theory. They feature rich decoration of stone statues and carvings and tiles with dragon motifs, illustrating the development of the funerary architecture of the Qing Dynasty. The three tomb complexes, and their numerous edifices, combine traditions inherited from previous dynasties and new features of Manchu civilization.</p>",China,,Bright lilac,#D891EF,https://en.wikipedia.org/wiki/Lilac_(color)#Bright_lilac,fern leaf corydalis,1896: Svante Arrhenius derives the basic principles of the greenhouse effect,Immanence,https://en.wikipedia.org/wiki/Immanence
